wave,layer,request_id,pair_budget_fraction,strategy,available_pairs,removed_assignments,actual_removed_fraction,max_rank_load_reduction,critical_pair_fraction,pair_cosine_median
6,40,single_astronaut,0.25,REDUNDANCY_ONLY,25,7,0.0040137614678899085,0.0034602076124568004,0.14285714285714285,0.9115833044052124
6,40,single_astronaut,0.25,CRITICAL_RANK_AWARE,25,7,0.0040137614678899085,0.01730103806228378,0.7142857142857143,0.9061341881752014
6,40,single_astronaut,0.5,RANDOM_MATCHED,25,13,0.007454128440366973,0.01038062283737029,0.23076923076923078,0.9045541286468506
6,40,single_astronaut,0.5,REDUNDANCY_ONLY,25,13,0.007454128440366973,0.01038062283737029,0.23076923076923078,0.9061342477798462
6,40,single_astronaut,0.5,CRITICAL_RANK_AWARE,25,13,0.007454128440366973,0.01730103806228378,0.38461538461538464,0.9061342477798462
6,40,single_astronaut,0.75,RANDOM_MATCHED,25,19,0.010894495412844037,0.01038062283737029,0.15789473684210525,0.9045541286468506
6,40,single_astronaut,0.75,REDUNDANCY_ONLY,25,19,0.010894495412844037,0.01384083044982698,0.21052631578947367,0.9061341881752014
6,40,single_astronaut,0.75,CRITICAL_RANK_AWARE,25,19,0.010894495412844037,0.01730103806228378,0.2631578947368421,0.9061341881752014
6,40,single_astronaut,1.0,RANDOM_MATCHED,25,25,0.014334862385321102,0.01730103806228378,0.2,0.9061341881752014
6,40,single_astronaut,1.0,REDUNDANCY_ONLY,25,25,0.014334862385321102,0.01730103806228378,0.2,0.9061341881752014
6,40,single_astronaut,1.0,CRITICAL_RANK_AWARE,25,25,0.014334862385321102,0.01730103806228378,0.2,0.9061341881752014
7,16,pair_natural,0.25,RANDOM_MATCHED,7,2,0.0006009615384615385,0.0,0.0,0.9007489681243896
7,16,pair_natural,0.25,REDUNDANCY_ONLY,7,2,0.0006009615384615385,0.001677852348993314,0.5,0.9007489681243896
7,16,pair_natural,0.25,CRITICAL_RANK_AWARE,7,2,0.0006009615384615385,0.001677852348993314,0.5,0.9007489681243896
7,16,pair_natural,0.5,RANDOM_MATCHED,7,4,0.001201923076923077,0.0,0.0,0.9007489681243896
7,16,pair_natural,0.5,REDUNDANCY_ONLY,7,4,0.001201923076923077,0.001677852348993314,0.25,0.9007489681243896
7,16,pair_natural,0.5,CRITICAL_RANK_AWARE,7,4,0.001201923076923077,0.001677852348993314,0.25,0.9007489681243896
7,16,pair_natural,0.75,RANDOM_MATCHED,7,6,0.0018028846153846155,0.001677852348993314,0.16666666666666666,0.9007489681243896
7,16,pair_natural,0.75,REDUNDANCY_ONLY,7,6,0.0018028846153846155,0.001677852348993314,0.16666666666666666,0.9007489681243896
7,16,pair_natural,0.75,CRITICAL_RANK_AWARE,7,6,0.0018028846153846155,0.001677852348993314,0.16666666666666666,0.9007489681243896
7,16,pair_natural,1.0,RANDOM_MATCHED,7,7,0.0021033653846153845,0.001677852348993314,0.14285714285714285,0.9007489681243896
7,16,pair_natural,1.0,REDUNDANCY_ONLY,7,7,0.0021033653846153845,0.001677852348993314,0.14285714285714285,0.9007489681243896
7,16,pair_natural,1.0,CRITICAL_RANK_AWARE,7,7,0.0021033653846153845,0.001677852348993314,0.14285714285714285,0.9007489681243896
7,40,pair_natural,0.25,RANDOM_MATCHED,6,2,0.0006009615384615385,0.0,0.0,0.9115833044052124
7,40,pair_natural,0.25,REDUNDANCY_ONLY,6,2,0.0006009615384615385,0.0019011406844106071,0.5,0.9115833044052124
7,40,pair_natural,0.25,CRITICAL_RANK_AWARE,6,2,0.0006009615384615385,0.0019011406844106071,0.5,0.9115833044052124
7,40,pair_natural,0.5,RANDOM_MATCHED,6,3,0.0009014423076923077,0.0019011406844106071,0.3333333333333333,0.9115833044052124
7,40,pair_natural,0.5,REDUNDANCY_ONLY,6,3,0.0009014423076923077,0.0019011406844106071,0.3333333333333333,0.9115833044052124
7,40,pair_natural,0.5,CRITICAL_RANK_AWARE,6,3,0.0009014423076923077,0.0019011406844106071,0.3333333333333333,0.9115833044052124
7,40,pair_natural,0.75,RANDOM_MATCHED,6,5,0.0015024038461538462,0.0019011406844106071,0.2,0.9115833044052124
7,40,pair_natural,0.75,REDUNDANCY_ONLY,6,5,0.0015024038461538462,0.0019011406844106071,0.2,0.9115833044052124
7,40,pair_natural,0.75,CRITICAL_RANK_AWARE,6,5,0.0015024038461538462,0.0019011406844106071,0.2,0.9115833044052124
7,40,pair_natural,1.0,RANDOM_MATCHED,6,6,0.0018028846153846155,0.0019011406844106071,0.16666666666666666,0.9115833044052124
7,40,pair_natural,1.0,REDUNDANCY_ONLY,6,6,0.0018028846153846155,0.0019011406844106071,0.16666666666666666,0.9115833044052124
7,40,pair_natural,1.0,CRITICAL_RANK_AWARE,6,6,0.0018028846153846155,0.0019011406844106071,0.16666666666666666,0.9115833044052124
8,16,pair_resolution,0.25,RANDOM_MATCHED,37,10,0.0010416666666666667,0.0,0.0,0.9173963069915771
8,16,pair_resolution,0.25,REDUNDANCY_ONLY,37,10,0.0010416666666666667,0.000694444444444442,0.1,0.9309894442558289
8,16,pair_resolution,0.25,CRITICAL_RANK_AWARE,37,10,0.0010416666666666667,0.002777777777777768,0.4,0.9309894442558289
8,16,pair_resolution,0.5,RANDOM_MATCHED,37,19,0.001979166666666667,0.001388888888888884,0.10526315789473684,0.9173963069915771
