scope,layer,placement,fit_profile,eval_profile,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
layer,42,P_load,all,text,greedy_load+swap,15930,127440,3.7268047708725676,4.0,4.0,0.7335216572504708,0.9932831136220966,33671,31860.0,0.04844316800508707,1.056842435655995,2,43438.0
layer,42,P_sat,all,all,coactivation_surrogate+swap,31859,254872,2.89943187168461,3.0,4.0,0.24385573935151764,0.7073668351172353,128636,63718.0,0.6450961304182455,2.0188329828305975,0,60514.0
layer,42,P_sat,all,vision,coactivation_surrogate+swap,15929,127432,3.2000125557159897,3.0,4.0,0.35796346286646996,0.8494569652834453,48755,31858.0,0.40980878587818376,1.5303848326950844,0,35044.0
layer,42,P_sat,all,text,coactivation_surrogate+swap,15930,127440,2.598870056497175,3.0,4.0,0.12975517890772129,0.5652856246076585,79881,31860.0,0.9078451286113225,2.507250470809793,0,25470.0
layer,42,P_joint_0,all,all,joint_surrogate_lambda_0,31859,254872,2.89943187168461,3.0,4.0,0.24385573935151764,0.7073668351172353,128636,63718.0,0.6450961304182455,2.0188329828305975,0,60514.0
layer,42,P_joint_0,all,vision,joint_surrogate_lambda_0,15929,127432,3.2000125557159897,3.0,4.0,0.35796346286646996,0.8494569652834453,48755,31858.0,0.40980878587818376,1.5303848326950844,0,35044.0
layer,42,P_joint_0,all,text,joint_surrogate_lambda_0,15930,127440,2.598870056497175,3.0,4.0,0.12975517890772129,0.5652856246076585,79881,31860.0,0.9078451286113225,2.507250470809793,0,25470.0
layer,42,P_joint_0.25,all,all,joint_surrogate_lambda_0.25,31859,254872,2.9800684265042845,3.0,4.0,0.24799899557424904,0.7327285853291063,107435,63718.0,0.5549704019486693,1.6861012586710191,0,63083.0
layer,42,P_joint_0.25,all,vision,joint_surrogate_lambda_0.25,15929,127432,3.225437880595141,3.0,4.0,0.36267185636260907,0.8632054742921715,46891,31858.0,0.39974056202893693,1.4718751961830623,0,35449.0
layer,42,P_joint_0.25,all,text,joint_surrogate_lambda_0.25,15930,127440,2.7347143753923415,3.0,4.0,0.13333333333333333,0.6022598870056497,60544,31860.0,0.7170503747239286,1.9003138731952292,0,27634.0
